Role,Pets,Departure Time
Nueva Teacher,0,7:25:00 AM
Parent or Guardian of Nueva student,0,7:25:00 AM
Parent or Guardian of Nueva student,10,7:40:00 AM
Parent or Guardian of Nueva student,0,8:00:00 AM
Parent or Guardian of Nueva student,2,7:00:00 AM
Parent or Guardian of Nueva student,0,7:45:00 AM
Parent or Guardian of Nueva student,205,7:55:00 AM
Nueva Teacher,2,7:15:00 AM
Parent or Guardian of Nueva student,0,7:30:00 AM
Parent or Guardian of Nueva student,0,7:35:00 AM
Parent or Guardian of Nueva student,1,7:25:00 AM
Nueva Teacher,1,6:55:00 AM
Nueva Employee (not a teacher),0,10:00:00 AM
Parent or Guardian of Nueva student,2,7:50:00 AM
Parent or Guardian of Nueva student,0,8:00:00 AM
Parent or Guardian of Nueva student,1,8:10:00 AM
Parent or Guardian of Nueva student,1,8:10:00 AM
Parent or Guardian of Nueva student,0,7:15:00 AM
Parent or Guardian of Nueva student,2,7:40:00 AM
Parent or Guardian of Nueva student,1,8:55:00 AM
Nueva Teacher,2,6:45:00 AM
Parent or Guardian of Nueva student,1,7:50:00 AM
Parent or Guardian of Nueva student,0,
Nueva Teacher,0,8:30:00 AM
Parent or Guardian of Nueva student,2,7:30:00 AM
Parent or Guardian of Nueva student,2,7:00:00 AM
